primary_label,filename,duration,clip_start_time
lirplo,lirplo/XC523193.ogg,54.674,0
blrwar1,blrwar1/XC568493.ogg,998.452,175
bkwsti,bkwsti/XC310427.ogg,629.002,95
marsan,marsan/XC26661.ogg,72.777,15
categr,categr/XC838628.ogg,601.992,505
lirplo,lirplo/XC804754.ogg,251.424,55
barswa,barswa/XC317626.ogg,70.818,55
comros,comros/XC509370.ogg,77.27,45
asbfly,asbfly/XC309402.ogg,38.583,35
maghor2,maghor2/XC113461.ogg,129.75,110
commyn,commyn/XC579177.ogg,94.85,15
wemhar1,wemhar1/XC781890.ogg,98.371,45
zitcis1,zitcis1/XC572648.ogg,34.273,30
bcnher,bcnher/XC544765.ogg,83.76,60
woosan,woosan/XC378704.ogg,43.572,35
greegr,greegr/XC129041.ogg,72.673,25
grtdro1,grtdro1/XC240334.ogg,98.978,0
comtai1,comtai1/XC307406.ogg,20.193,20
categr,categr/XC713106.ogg,26.112,20
eaywag1,eaywag1/XC616907.ogg,48.5,25
grejun2,grejun2/XC776892.ogg,35.082,10
placuc3,placuc3/XC214136.ogg,106.848,30
grewar3,grewar3/XC185504.ogg,33.959,25
grnsan,grnsan/XC735365.ogg,24.607,10
comros,comros/XC135790.ogg,80.039,35
eucdov,eucdov/XC668870.ogg,1144.555,190
litgre1,litgre1/XC153870.ogg,31.112,15
rocpig,rocpig/XC777163.ogg,57.859,55
comkin1,comkin1/XC602783.ogg,57.768,30
blrwar1,blrwar1/XC419888.ogg,318.197,155
blrwar1,blrwar1/XC660157.ogg,1446.087,1440
junowl1,junowl1/XC683121.ogg,122.856,120
ingori1,ingori1/XC733450.ogg,68.78,60
bkwsti,bkwsti/XC310427.ogg,629.002,580
asbfly,asbfly/XC827640.ogg,76.49,45
emedov2,emedov2/XC826189.ogg,123.449,0
sttwoo1,sttwoo1/XC349693.ogg,69.384,35
rorpar,rorpar/XC375258.ogg,62.459,55
thbwar1,thbwar1/XC607434.ogg,16.144,5
greegr,greegr/XC650221.ogg,52.663,0
houspa,houspa/XC326674.ogg,871.34,105
comsan,comsan/XC648403.ogg,68.362,30
blhori1,blhori1/XC346182.ogg,46.344,0
brwowl1,brwowl1/XC436744.ogg,34.429,0
goflea1,goflea1/XC589995.ogg,61.896,0
commoo3,commoo3/XC829440.ogg,91.959,5
indrol2,indrol2/XC565947.ogg,28.786,25
categr,categr/XC838625.ogg,129.927,25
litgre1,litgre1/XC266563.ogg,10.083,5
cohcuc1,cohcuc1/XC424230.ogg,76.8,40
categr,categr/XC146066.ogg,42.292,20
blakit1,blakit1/XC493735.ogg,259.422,225
grtdro1,grtdro1/XC372567.ogg,103.008,25
blrwar1,blrwar1/XC345787.ogg,575.472,35
houspa,houspa/XC702424.ogg,42.744,40
comsan,comsan/XC822531.ogg,76.852,45
commyn,commyn/XC519458.ogg,989.88,680
houspa,houspa/XC326667.ogg,870.609,40
ingori1,ingori1/XC842316.ogg,214.321,0
purher1,purher1/XC686791.ogg,49.842,20
grtdro1,grtdro1/XC632042.ogg,89.626,10
comgre,comgre/XC621745.ogg,62.642,0
grnsan,grnsan/XC142902.ogg,46.68,10
bkwsti,bkwsti/XC690160.ogg,164.989,70
eurcoo,eurcoo/XC697400.ogg,60.048,10
whbbul2,whbbul2/XC453725.ogg,180.6,20
zitcis1,zitcis1/XC763758.ogg,13.035,10
rewlap1,rewlap1/XC483703.ogg,34.168,0
blrwar1,blrwar1/XC571560.ogg,1816.152,1615
houspa,houspa/XC786489.ogg,1381.903,845
eucdov,eucdov/XC820046.ogg,343.445,185
houspa,houspa/XC548484.ogg,127.896,65
grtdro1,grtdro1/XC528892.ogg,99.552,85
bcnher,bcnher/XC588334.ogg,5.333,5
grnsan,grnsan/XC587069.ogg,282.216,110
inbrob1,inbrob1/XC583991.ogg,210.864,85
brnshr,brnshr/XC844614.ogg,34.847,20
houspa,houspa/XC326655.ogg,868.859,780
rerswa1,rerswa1/XC243483.ogg,34.847,5
blhori1,blhori1/XC403967.ogg,35.736,35
plapri1,plapri1/XC834654.ogg,130.656,70
grnsan,grnsan/XC737052.ogg,56.528,10
whiter2,whiter2/XC265270.ogg,556.434,435
commyn,commyn/XC661228.ogg,248.736,220
rorpar,rorpar/XC506680.ogg,43.608,15
barswa,barswa/XC790601.ogg,100.272,75
lirplo,lirplo/XC234556.ogg,90.816,75
commoo3,commoo3/XC786606.ogg,26.622,20
whbwat1,whbwat1/XC124434.ogg,31.06,25
grewar3,grewar3/XC501074.ogg,232.128,220
labcro1,labcro1/XC790935.ogg,96.48,70
rorpar,rorpar/XC234984.ogg,85.864,70
commyn,commyn/XC548866.ogg,4486.536,3745
houspa,houspa/XC499109.ogg,57.264,35
lirplo,lirplo/XC838962.ogg,39.786,20
grnsan,grnsan/XC778291.ogg,37.656,10
commyn,commyn/XC546848.ogg,1086.696,975
grewar3,grewar3/XC735991.ogg,19.853,10
commyn,commyn/XC284831.ogg,57.443,30
gybpri1,gybpri1/XC363614.ogg,9.247,0
whiter2,whiter2/XC263342.ogg,7.656,5
commoo3,commoo3/XC818187.ogg,10.104,5
plaflo1,plaflo1/XC267491.ogg,16.344,5
grywag,grywag/XC470711.ogg,24.672,20
bcnher,bcnher/XC2797.ogg,15.464,5
spodov,spodov/XC783972.ogg,206.28,125
inbrob1,inbrob1/XC312346.ogg,171.311,140
hoopoe,hoopoe/XC308069.ogg,40.072,15
lirplo,lirplo/XC642220.ogg,17.972,10
eurcoo,eurcoo/XC540685.ogg,15.02,10
bkskit1,bkskit1/XC361614.ogg,241.345,240
blrwar1,blrwar1/XC826057.ogg,3866.016,2325
eucdov,eucdov/XC669824.ogg,10.292,0
redspu1,redspu1/XC668357.ogg,17.293,10
comkin1,comkin1/XC631106.ogg,221.736,65
spepic1,spepic1/XC23010.ogg,36.493,25
yebbul3,yebbul3/XC741610.ogg,107.64,65
comsan,comsan/XC527850.ogg,68.472,55
blrwar1,blrwar1/XC658147.ogg,603.872,355
comgre,comgre/XC720843.ogg,30.552,20
blrwar1,blrwar1/XC660158.ogg,1591.615,1445
gargan,gargan/XC786511.ogg,52.271,0
spoowl1,spoowl1/XC740456.ogg,18.744,5
grtdro1,grtdro1/XC654528.ogg,32.304,30
comgre,comgre/XC326586.ogg,29.1,10
commyn,commyn/XC585480.ogg,2124.624,30
grewar3,grewar3/XC181137.ogg,62.824,15
houspa,houspa/XC279680.ogg,41.691,15
aspswi1,aspswi1/XC362689.ogg,15.412,0
barswa,barswa/XC690497.ogg,12.408,10
labcro1,labcro1/XC684247.ogg,35.553,30
eurbla2,eurbla2/XC572926.ogg,50.077,50
rorpar,rorpar/XC845025.ogg,112.666,110
blrwar1,blrwar1/XC563337.ogg,2804.208,2580
lirplo,lirplo/XC585985.ogg,90.854,85
comros,comros/XC420491.ogg,162.72,160
bkwsti,bkwsti/XC756081.ogg,119.278,90
spodov,spodov/XC179204.ogg,48.3,40
gargan,gargan/XC643885.ogg,24.241,0
grywag,grywag/XC633118.ogg,31.556,10
brodro1,brodro1/XC125349.ogg,75.52,65
houspa,houspa/XC621251.ogg,132.231,120
rewbul,rewbul/XC784304.ogg,77.607,35
spodov,spodov/XC616498.ogg,70.056,50
comgre,comgre/XC796155.ogg,142.818,55
eurcoo,eurcoo/XC302632.ogg,565.76,200
commyn,commyn/XC519640.ogg,2630.352,2275
mawthr1,mawthr1/XC490497.ogg,45.349,10
grywag,grywag/XC511573.ogg,136.296,85
gyhcaf1,gyhcaf1/XC293430.ogg,10.057,5
blrwar1,blrwar1/XC826766.ogg,5964.225,5255
cohcuc1,cohcuc1/XC214007.ogg,78.336,75
stbkin1,stbkin1/XC636711.ogg,39.696,15
zitcis1,zitcis1/XC378563.ogg,23.484,0
emedov2,emedov2/XC537458.ogg,28.248,5
ashdro1,ashdro1/XC37741.ogg,62.354,10
blrwar1,blrwar1/XC770067.ogg,1432.059,1065
whbwoo2,whbwoo2/XC214023.ogg,155.832,75
grewar3,grewar3/XC349053.ogg,65.045,60
lobsun2,lobsun2/XC335661.ogg,212.61,145
rossta2,rossta2/XC417293.ogg,85.524,45
plapri1,plapri1/XC331900.ogg,13.608,5
commoo3,commoo3/XC785129.ogg,120.529,80
tilwar1,tilwar1/XC768864.ogg,22.248,20
hoopoe,hoopoe/XC570576.ogg,217.313,145
eurcoo,eurcoo/XC288601.ogg,20.402,5
commyn,commyn/XC841866.ogg,59.448,0
rocpig,rocpig/XC263182.ogg,24.398,5
thbwar1,thbwar1/XC478622.ogg,904.046,580
bkskit1,bkskit1/XC360649.ogg,33.881,0
grefla1,grefla1/XC252133.ogg,15.816,0
barswa,barswa/XC320267.ogg,131.082,45
bcnher,bcnher/XC714165.ogg,31.242,0
commyn,commyn/XC40087.ogg,166.766,150
goflea1,goflea1/XC209549.ogg,133.956,85
compea,compea/XC316933.ogg,9.864,0
brnshr,brnshr/XC823995.ogg,79.776,60
blrwar1,blrwar1/XC141038.ogg,455.976,300
barswa,barswa/XC134349.ogg,104.438,15
eucdov,eucdov/XC748534.ogg,18.18,15
grtdro1,grtdro1/XC401576.ogg,20.062,5
sbeowl1,sbeowl1/XC743554.ogg,75.258,40
barfly1,barfly1/XC856020.ogg,229.381,100
crseag1,crseag1/XC390340.ogg,94.563,65
lirplo,lirplo/XC797130.ogg,20.239,15
blrwar1,blrwar1/XC765804.ogg,1927.944,305
houspa,houspa/XC544308.ogg,42.867,25
zitcis1,zitcis1/XC341144.ogg,208.405,5
putbab1,putbab1/XC239891.ogg,45.192,40
litgre1,litgre1/XC717151.ogg,171.389,125
litspi1,litspi1/XC57248.ogg,19.644,10
rorpar,rorpar/XC246662.ogg,90.462,85
rerswa1,rerswa1/XC178394.ogg,10.657,10
grtdro1,grtdro1/XC576680.ogg,82.608,20
sbeowl1,sbeowl1/XC194754.ogg,38.916,25
blrwar1,blrwar1/XC181196.ogg,55.776,20
blakit1,blakit1/XC740481.ogg,568.007,465
blrwar1,blrwar1/XC181812.ogg,86.57,0
barswa,barswa/XC817803.ogg,810.031,750
grywag,grywag/XC186703.ogg,20.402,5
bcnher,bcnher/XC656877.ogg,24.864,15
commyn,commyn/XC519659.ogg,2169.678,1160
comior1,comior1/XC684106.ogg,23.232,0
grenig1,grenig1/XC520245.ogg,24.79,15
putbab1,putbab1/XC473457.ogg,71.758,10
plapri1,plapri1/XC596956.ogg,58.224,45
blrwar1,blrwar1/XC570489.ogg,290.736,35
grewar3,grewar3/XC246723.ogg,287.085,125
ruftre2,ruftre2/XC577951.ogg,16.248,0
eaywag1,eaywag1/XC645026.ogg,17.328,5
eucdov,eucdov/XC709678.ogg,32.627,10
blrwar1,blrwar1/XC826766.ogg,5964.225,1020
bkwsti,bkwsti/XC808277.ogg,23.12,15
grtdro1,grtdro1/XC684829.ogg,83.208,5
stbkin1,stbkin1/XC284715.ogg,110.232,20
eaywag1,eaywag1/XC811748.ogg,60.12,45
barswa,barswa/XC690501.ogg,27.376,0
comkin1,comkin1/XC845422.ogg,13.28,10
grywag,grywag/XC649558.ogg,81.449,0
bkskit1,bkskit1/XC433770.ogg,502.674,395
grehor1,grehor1/XC304554.ogg,44.352,20
blnmon1,blnmon1/XC843208.ogg,67.3,30
whtkin2,whtkin2/XC720544.ogg,107.075,0
bkwsti,bkwsti/XC185110.ogg,120.581,70
blrwar1,blrwar1/XC477197.ogg,631.248,40
rewbul,rewbul/XC784304.ogg,77.607,0
crseag1,crseag1/XC406115.ogg,62.232,45
asikoe2,asikoe2/XC194905.ogg,8.411,5
ashdro1,ashdro1/XC289070.ogg,68.136,35
comkin1,comkin1/XC465069.ogg,301.009,175
blrwar1,blrwar1/XC659273.ogg,288.072,275
blakit1,blakit1/XC330330.ogg,146.521,100
gyhcaf1,gyhcaf1/XC744697.ogg,113.112,75
rerswa1,rerswa1/XC837450.ogg,113.893,110
barfly1,barfly1/XC856020.ogg,229.381,185
comkin1,comkin1/XC496581.ogg,59.808,10
insbab1,insbab1/XC574338.ogg,30.067,10
brodro1,brodro1/XC504187.ogg,60.761,40
marsan,marsan/XC138804.ogg,5.407,0
commyn,commyn/XC203345.ogg,315.611,290
commyn,commyn/XC548866.ogg,4486.536,4255
blrwar1,blrwar1/XC826766.ogg,5964.225,4415
blnmon1,blnmon1/XC632675.ogg,17.763,10
blnmon1,blnmon1/XC691486.ogg,41.3,35
rorpar,rorpar/XC647602.ogg,10.58,0
grewar3,grewar3/XC686927.ogg,74.031,50
gybpri1,gybpri1/XC608343.ogg,51.931,40
crseag1,crseag1/XC826945.ogg,86.904,55
bkwsti,bkwsti/XC338800.ogg,526.367,305
woosan,woosan/XC664808.ogg,216.36,110
zitcis1,zitcis1/XC722428.ogg,20.64,0
wemhar1,wemhar1/XC189883.ogg,39.471,25
bladro1,bladro1/XC209203.ogg,72.647,60
heswoo1,heswoo1/XC206611.ogg,113.688,90
lirplo,lirplo/XC420653.ogg,58.619,35
purher1,purher1/XC640610.ogg,72.552,30
bcnher,bcnher/XC725825.ogg,37.276,0
litegr,litegr/XC333935.ogg,42.841,40
rocpig,rocpig/XC606455.ogg,4.536,0
labcro1,labcro1/XC116711.ogg,137.482,130
houspa,houspa/XC326659.ogg,871.68,405
comgre,comgre/XC699622.ogg,18.181,5
bkwsti,bkwsti/XC338800.ogg,526.367,200
blrwar1,blrwar1/XC661059.ogg,841.104,640
bkwsti,bkwsti/XC436192.ogg,21.216,20
grewar3,grewar3/XC560566.ogg,22.047,20
asikoe2,asikoe2/XC402084.ogg,7.001,0
rewlap1,rewlap1/XC74223.ogg,24.059,10
comros,comros/XC455897.ogg,46.512,35
eaywag1,eaywag1/XC746576.ogg,220.656,175
whtkin2,whtkin2/XC576692.ogg,27.24,25
bladro1,bladro1/XC596818.ogg,15.12,5
bkwsti,bkwsti/XC810394.ogg,167.0,75
comros,comros/XC185473.ogg,14.106,5
putbab1,putbab1/XC304965.ogg,51.331,15
commyn,commyn/XC519659.ogg,2169.678,435
brnhao1,brnhao1/XC469353.ogg,165.936,15
eurcoo,eurcoo/XC784639.ogg,21.89,5
mawthr1,mawthr1/XC523151.ogg,20.52,20
bkskit1,bkskit1/XC360637.ogg,127.086,55
bcnher,bcnher/XC263289.ogg,8.304,0
grbeat1,grbeat1/XC553489.ogg,3.422,0
comros,comros/XC318225.ogg,90.514,55
blrwar1,blrwar1/XC826057.ogg,3866.016,3550
commyn,commyn/XC519640.ogg,2630.352,2210
blrwar1,blrwar1/XC660156.ogg,1698.508,125
eaywag1,eaywag1/XC339499.ogg,13.558,5
inbrob1,inbrob1/XC214231.ogg,11.256,10
barswa,barswa/XC839553.ogg,122.184,70
inpher1,inpher1/XC116748.ogg,26.619,20
hoopoe,hoopoe/XC367872.ogg,148.114,60
houspa,houspa/XC703378.ogg,136.202,95
purher1,purher1/XC542558.ogg,34.533,15
blrwar1,blrwar1/XC807464.ogg,131.683,60
comgre,comgre/XC822664.ogg,29.608,25
eurcoo,eurcoo/XC302632.ogg,565.76,370
piebus1,piebus1/XC497084.ogg,54.596,50
hoopoe,hoopoe/XC318438.ogg,871.732,10
brnhao1,brnhao1/XC578764.ogg,159.634,65
wemhar1,wemhar1/XC377180.ogg,23.771,20
putbab1,putbab1/XC593998.ogg,58.279,35
eucdov,eucdov/XC303261.ogg,525.819,155
rocpig,rocpig/XC536371.ogg,19.656,0
eaywag1,eaywag1/XC417164.ogg,50.496,0
asikoe2,asikoe2/XC545738.ogg,144.624,20
comsan,comsan/XC422063.ogg,75.264,55
wynlau1,wynlau1/XC619722.ogg,71.053,15
comkin1,comkin1/XC820440.ogg,25.574,5
junowl1,junowl1/XC582539.ogg,70.06,5
bcnher,bcnher/XC642133.ogg,65.071,35
brwowl1,brwowl1/XC723722.ogg,85.752,75
thbwar1,thbwar1/XC266176.ogg,316.447,10
houspa,houspa/XC546206.ogg,36.96,0
hoopoe,hoopoe/XC729989.ogg,100.702,40
laudov1,laudov1/XC405371.ogg,56.592,10
houspa,houspa/XC326676.ogg,871.811,380
blrwar1,blrwar1/XC480512.ogg,72.986,55
eurcoo,eurcoo/XC310414.ogg,9.665,5
commyn,commyn/XC598051.ogg,73.482,15
comgre,comgre/XC434824.ogg,49.842,10
comros,comros/XC134729.ogg,37.016,5
blrwar1,blrwar1/XC247643.ogg,238.838,135
woosan,woosan/XC144919.ogg,27.912,25
comsan,comsan/XC569862.ogg,42.864,40
ruftre2,ruftre2/XC553212.ogg,22.779,0
purher1,purher1/XC826023.ogg,226.651,20
bcnher,bcnher/XC763192.ogg,122.256,80
litgre1,litgre1/XC718218.ogg,148.104,55
blrwar1,blrwar1/XC826043.ogg,2153.448,1790
blhori1,blhori1/XC412671.ogg,59.037,40
graher1,graher1/XC307238.ogg,51.84,20
blrwar1,blrwar1/XC808194.ogg,494.021,125
cohcuc1,cohcuc1/XC396087.ogg,621.264,515
eaywag1,eaywag1/XC481360.ogg,151.944,105
comkin1,comkin1/XC595517.ogg,188.238,145
houspa,houspa/XC736583.ogg,66.873,45
litgre1,litgre1/XC578474.ogg,28.577,20
kenplo1,kenplo1/XC808294.ogg,32.758,10
hoopoe,hoopoe/XC677453.ogg,24.084,20
commyn,commyn/XC519640.ogg,2630.352,465
brodro1,brodro1/XC214139.ogg,178.032,145
comtai1,comtai1/XC446621.ogg,56.085,50
spoowl1,spoowl1/XC469473.ogg,64.248,20
commyn,commyn/XC585480.ogg,2124.624,1800
gyhcaf1,gyhcaf1/XC786026.ogg,41.038,20
whiter2,whiter2/XC265268.ogg,634.593,435
labcro1,labcro1/XC464637.ogg,64.026,45
blnmon1,blnmon1/XC406867.ogg,84.336,35
laudov1,laudov1/XC511040.ogg,20.427,15
rewbul,rewbul/XC462813.ogg,40.08,25
grnwar1,grnwar1/XC163915.ogg,24.336,0
junmyn1,junmyn1/XC209051.ogg,15.386,15
houspa,houspa/XC642794.ogg,73.195,0
comros,comros/XC185706.ogg,77.688,25
blakit1,blakit1/XC330331.ogg,9.874,5
blrwar1,blrwar1/XC660158.ogg,1591.615,285
houspa,houspa/XC807213.ogg,852.035,585
eucdov,eucdov/XC410907.ogg,116.424,10
thbwar1,thbwar1/XC727519.ogg,250.512,35
graher1,graher1/XC362547.ogg,30.119,25
bkwsti,bkwsti/XC487848.ogg,90.48,50
comkin1,comkin1/XC313958.ogg,487.728,305
heswoo1,heswoo1/XC357149.ogg,100.127,20
hoopoe,hoopoe/XC617644.ogg,39.628,15
commyn,commyn/XC546848.ogg,1086.696,420
insowl1,insowl1/XC754675.ogg,50.155,35
gyhcaf1,gyhcaf1/XC388631.ogg,26.671,15
bwfshr1,bwfshr1/XC708011.ogg,17.607,15
gybpri1,gybpri1/XC665709.ogg,117.12,105
grewar3,grewar3/XC448206.ogg,22.151,5
barswa,barswa/XC640578.ogg,149.707,45
yebbul3,yebbul3/XC469480.ogg,31.008,15
blrwar1,blrwar1/XC826057.ogg,3866.016,3445
blrwar1,blrwar1/XC569062.ogg,180.384,125
grewar3,grewar3/XC375800.ogg,178.488,40
cohcuc1,cohcuc1/XC396087.ogg,621.264,130
litegr,litegr/XC839461.ogg,32.255,5
blrwar1,blrwar1/XC659078.ogg,36.179,30
hoopoe,hoopoe/XC560354.ogg,35.784,15
whtkin2,whtkin2/XC599158.ogg,31.776,15
indrol2,indrol2/XC362062.ogg,18.704,15
rorpar,rorpar/XC650130.ogg,750.168,735
comkin1,comkin1/XC686761.ogg,29.753,10
rocpig,rocpig/XC475650.ogg,17.215,0
junbab2,junbab2/XC404167.ogg,90.828,75
orihob2,orihob2/XC678427.ogg,16.008,0
rerswa1,rerswa1/XC390250.ogg,96.601,15
comgre,comgre/XC547944.ogg,17.58,15
grewar3,grewar3/XC185063.ogg,32.993,25
bkskit1,bkskit1/XC350260.ogg,7.549,5
whiter2,whiter2/XC580160.ogg,78.002,20
asbfly,asbfly/XC347938.ogg,33.646,5
grywag,grywag/XC421778.ogg,192.912,160
litspi1,litspi1/XC654426.ogg,49.763,0
comgre,comgre/XC664805.ogg,26.904,15
grtdro1,grtdro1/XC428613.ogg,43.624,0
blrwar1,blrwar1/XC492503.ogg,434.678,85
barswa,barswa/XC380526.ogg,141.27,45
eucdov,eucdov/XC657884.ogg,9.024,5
inbrob1,inbrob1/XC401204.ogg,81.241,60
blrwar1,blrwar1/XC568493.ogg,998.452,280
bkwsti,bkwsti/XC283847.ogg,11.18,0
blrwar1,blrwar1/XC826787.ogg,4670.642,1780
zitcis1,zitcis1/XC432674.ogg,16.039,15
litgre1,litgre1/XC540723.ogg,52.558,15
comgre,comgre/XC804943.ogg,515.256,455
brnshr,brnshr/XC115433.ogg,6.96,0
comros,comros/XC807051.ogg,316.314,95
houspa,houspa/XC642792.ogg,102.322,30
commoo3,commoo3/XC349223.ogg,824.895,360
thbwar1,thbwar1/XC266177.ogg,267.677,240
whbwat1,whbwat1/XC650149.ogg,161.064,40
zitcis1,zitcis1/XC633692.ogg,103.656,35
thbwar1,thbwar1/XC803371.ogg,67.284,40
spoowl1,spoowl1/XC572904.ogg,35.631,25
graher1,graher1/XC313107.ogg,718.42,275
hoopoe,hoopoe/XC570576.ogg,217.313,70
comsan,comsan/XC584609.ogg,599.902,435
hoopoe,hoopoe/XC785863.ogg,43.615,10
houspa,houspa/XC347366.ogg,177.768,40
comgre,comgre/XC190514.ogg,192.653,180
litspi1,litspi1/XC296441.ogg,129.48,110
comkin1,comkin1/XC691421.ogg,28.551,10
grecou1,grecou1/XC277459.ogg,48.797,10
zitcis1,zitcis1/XC561306.ogg,54.962,10
shikra1,shikra1/XC145288.ogg,76.272,40
crseag1,crseag1/XC150734.ogg,49.711,15
categr,categr/XC45473.ogg,7.314,0
blrwar1,blrwar1/XC113343.ogg,141.672,85
junowl1,junowl1/XC507441.ogg,147.12,75
rerswa1,rerswa1/XC701890.ogg,163.265,15
whtkin2,whtkin2/XC477294.ogg,30.093,0
blrwar1,blrwar1/XC564175.ogg,588.147,250
grecou1,grecou1/XC289199.ogg,40.229,40
commyn,commyn/XC318687.ogg,8.098,0
indrob1,indrob1/XC73391.ogg,156.134,5
labcro1,labcro1/XC42631.ogg,53.995,45
inbrob1,inbrob1/XC681624.ogg,22.23,0
blrwar1,blrwar1/XC652110.ogg,55.353,45
grewar3,grewar3/XC684274.ogg,44.487,0
zitcis1,zitcis1/XC633271.ogg,52.976,15
btbeat1,btbeat1/XC665307.ogg,61.205,15
barswa,barswa/XC566676.ogg,11.616,10
grnwar1,grnwar1/XC567044.ogg,58.848,10
comgre,comgre/XC674487.ogg,70.844,65
comgre,comgre/XC190514.ogg,192.653,190
asbfly,asbfly/XC827640.ogg,76.49,65
rorpar,rorpar/XC656950.ogg,52.656,40
grewar3,grewar3/XC183688.ogg,35.291,5
whbwag1,whbwag1/XC787058.ogg,10.631,10
commoo3,commoo3/XC509416.ogg,26.07,5
grywag,grywag/XC482992.ogg,114.984,40
comtai1,comtai1/XC293542.ogg,10.266,0
blhori1,blhori1/XC417255.ogg,14.759,0
insbab1,insbab1/XC202648.ogg,103.105,20
rorpar,rorpar/XC784680.ogg,54.596,45
pursun3,pursun3/XC698980.ogg,13.944,10
inbrob1,inbrob1/XC583991.ogg,210.864,120
blrwar1,blrwar1/XC572385.ogg,2245.272,870
houspa,houspa/XC167597.ogg,116.715,20
woosan,woosan/XC647847.ogg,11.702,5
rocpig,rocpig/XC500496.ogg,20.376,5
commoo3,commoo3/XC552008.ogg,42.475,35
grecou1,grecou1/XC453348.ogg,148.114,100
oripip1,oripip1/XC468470.ogg,82.536,0
blrwar1,blrwar1/XC347280.ogg,44.513,5
rewlap1,rewlap1/XC665480.ogg,109.714,5
eucdov,eucdov/XC234418.ogg,170.88,155
bcnher,bcnher/XC798556.ogg,99.048,5
graher1,graher1/XC73272.ogg,18.338,15
blrwar1,blrwar1/XC656128.ogg,136.56,50
thbwar1,thbwar1/XC117085.ogg,17.11,0
zitcis1,zitcis1/XC768494.ogg,46.656,20
blrwar1,blrwar1/XC569385.ogg,1144.944,1070
grejun2,grejun2/XC603116.ogg,110.42,5
blrwar1,blrwar1/XC659665.ogg,120.869,0
zitcis1,zitcis1/XC341142.ogg,494.785,390
blrwar1,blrwar1/XC650323.ogg,158.976,105
barswa,barswa/XC457818.ogg,35.712,5
woosan,woosan/XC476067.ogg,40.568,40
inbrob1,inbrob1/XC594291.ogg,29.184,0
eucdov,eucdov/XC668870.ogg,1144.555,985
houspa,houspa/XC729378.ogg,17.568,5
forwag1,forwag1/XC473791.ogg,41.088,10
grejun2,grejun2/XC574318.ogg,70.008,25
blakit1,blakit1/XC579213.ogg,13.344,5
brcful1,brcful1/XC214140.ogg,181.992,55
grbeat1,grbeat1/XC291823.ogg,30.171,15
brcful1,brcful1/XC789886.ogg,47.7,35
houspa,houspa/XC282280.ogg,392.908,15
asikoe2,asikoe2/XC665229.ogg,22.778,15
sqtbul1,sqtbul1/XC296417.ogg,9.744,5
lirplo,lirplo/XC804198.ogg,26.784,15
graher1,graher1/XC418735.ogg,627.069,60
woosan,woosan/XC431564.ogg,64.705,55
eurcoo,eurcoo/XC783057.ogg,143.984,45
houspa,houspa/XC175621.ogg,119.431,65
rerswa1,rerswa1/XC423906.ogg,34.377,10
rorpar,rorpar/XC604484.ogg,145.056,45
