primary_label,filename,duration,clip_start_time,rating
goflea1,goflea1/XC196745.ogg,79.488,5,5.0
blrwar1,blrwar1/XC765804.ogg,1927.944,1130,5.0
blrwar1,blrwar1/XC572385.ogg,2245.272,655,5.0
rerswa1,rerswa1/XC390263.ogg,71.393,25,4.0
comgre,comgre/XC602468.ogg,75.442,30,4.5
ashwoo2,ashwoo2/XC584167.ogg,42.579,5,4.0
eucdov,eucdov/XC196133.ogg,246.0,135,2.5
bcnher,bcnher/XC574400.ogg,46.811,20,4.5
eurcoo,eurcoo/XC552383.ogg,22.779,0,3.0
eaywag1,eaywag1/XC642035.ogg,168.096,30,4.0
comgre,comgre/XC733167.ogg,91.167,25,4.0
grewar3,grewar3/XC806047.ogg,1955.52,110,3.0
piekin1,piekin1/XC515890.ogg,5.928,5,4.0
compea,compea/XC470555.ogg,157.176,50,3.5
blnmon1,blnmon1/XC642921.ogg,30.048,20,4.0
rerswa1,rerswa1/XC310524.ogg,126.145,90,3.0
woosan,woosan/XC827432.ogg,6.341,0,4.0
houspa,houspa/XC548484.ogg,127.896,105,3.5
forwag1,forwag1/XC814057.ogg,122.464,105,4.5
eucdov,eucdov/XC668872.ogg,859.924,555,1.0
whiter2,whiter2/XC770347.ogg,35.88,35,5.0
blrwar1,blrwar1/XC453300.ogg,107.86,25,5.0
houspa,houspa/XC326659.ogg,871.68,790,2.5
comsan,comsan/XC795774.ogg,34.963,0,4.0
gargan,gargan/XC164818.ogg,37.094,15,4.5
wemhar1,wemhar1/XC269746.ogg,11.389,0,2.0
commoo3,commoo3/XC802258.ogg,19.803,10,5.0
ruftre2,ruftre2/XC469371.ogg,64.728,40,4.0
barswa,barswa/XC248033.ogg,16.728,15,3.5
comkin1,comkin1/XC631106.ogg,221.736,50,4.5
asikoe2,asikoe2/XC793876.ogg,9.576,0,5.0
whiter2,whiter2/XC720985.ogg,20.297,0,5.0
eucdov,eucdov/XC303586.ogg,647.928,190,3.5
commoo3,commoo3/XC435567.ogg,67.526,25,0.0
whbwag1,whbwag1/XC575105.ogg,40.594,15,5.0
bkskit1,bkskit1/XC198489.ogg,54.779,25,3.0
bkwsti,bkwsti/XC728324.ogg,83.304,45,5.0
gybpri1,gybpri1/XC756584.ogg,48.888,20,5.0
blrwar1,blrwar1/XC345787.ogg,575.472,470,5.0
eaywag1,eaywag1/XC663315.ogg,16.728,5,4.0
pursun4,pursun4/XC192187.ogg,149.812,70,4.5
asikoe2,asikoe2/XC545738.ogg,144.624,90,4.0
woosan,woosan/XC668264.ogg,217.224,190,3.5
bkskit1,bkskit1/XC433770.ogg,502.674,275,5.0
blrwar1,blrwar1/XC192131.ogg,203.928,135,4.5
houspa,houspa/XC618127.ogg,35.709,10,3.5
houspa,houspa/XC790998.ogg,2113.358,1040,3.5
comsan,comsan/XC637268.ogg,7.367,0,5.0
junbab2,junbab2/XC796046.ogg,179.856,135,5.0
barswa,barswa/XC363996.ogg,56.216,20,5.0
putbab1,putbab1/XC428969.ogg,19.696,0,0.0
brnhao1,brnhao1/XC352338.ogg,119.876,50,3.5
blrwar1,blrwar1/XC477630.ogg,104.304,30,1.5
blrwar1,blrwar1/XC826766.ogg,5964.225,1270,4.0
houspa,houspa/XC791600.ogg,17.972,10,4.5
bkskit1,bkskit1/XC670866.ogg,15.216,10,3.0
inbrob1,inbrob1/XC744708.ogg,36.768,0,5.0
laudov1,laudov1/XC444432.ogg,74.606,10,2.5
graher1,graher1/XC544874.ogg,96.408,85,4.5
grewar3,grewar3/XC574994.ogg,1380.806,320,5.0
eurcoo,eurcoo/XC289328.ogg,21.107,15,3.5
blrwar1,blrwar1/XC660430.ogg,306.672,25,4.0
lirplo,lirplo/XC374919.ogg,369.936,255,3.5
lirplo,lirplo/XC622542.ogg,73.169,50,2.5
houspa,houspa/XC790998.ogg,2113.358,480,3.5
grefla1,grefla1/XC73177.ogg,44.356,10,3.5
eucdov,eucdov/XC778060.ogg,11.616,10,3.0
woosan,woosan/XC687191.ogg,10.396,5,4.0
zitcis1,zitcis1/XC333707.ogg,20.088,5,4.0
bkwsti,bkwsti/XC580256.ogg,130.351,40,3.5
barswa,barswa/XC142633.ogg,44.957,15,4.0
woosan,woosan/XC664543.ogg,26.184,15,5.0
pabflo1,pabflo1/XC652767.ogg,18.573,10,4.5
gloibi,gloibi/XC292205.ogg,194.377,40,4.5
bkskit1,bkskit1/XC433770.ogg,502.674,145,5.0
comkin1,comkin1/XC313958.ogg,487.728,305,3.0
comros,comros/XC519990.ogg,53.708,45,3.5
rocpig,rocpig/XC453907.ogg,202.392,140,3.5
commoo3,commoo3/XC301593.ogg,9.953,5,3.0
bcnher,bcnher/XC663531.ogg,665.664,210,4.5
comros,comros/XC675027.ogg,72.048,15,4.5
blrwar1,blrwar1/XC477893.ogg,210.128,130,2.5
barswa,barswa/XC254488.ogg,194.592,190,4.5
grefla1,grefla1/XC820702.ogg,26.253,20,5.0
blrwar1,blrwar1/XC765804.ogg,1927.944,1020,5.0
comros,comros/XC845029.ogg,24.552,5,4.5
eurcoo,eurcoo/XC168651.ogg,32.784,25,5.0
grywag,grywag/XC527043.ogg,30.354,0,5.0
houspa,houspa/XC326670.ogg,870.008,780,2.5
rocpig,rocpig/XC559541.ogg,267.336,195,4.5
whbwat1,whbwat1/XC445225.ogg,21.682,5,3.0
blakit1,blakit1/XC269712.ogg,24.842,5,3.0
rerswa1,rerswa1/XC701888.ogg,105.456,10,4.0
grywag,grywag/XC709940.ogg,20.016,15,5.0
gyhcaf1,gyhcaf1/XC756605.ogg,24.648,0,5.0
grtdro1,grtdro1/XC606823.ogg,89.573,20,4.0
lirplo,lirplo/XC130823.ogg,166.06,115,5.0
comros,comros/XC812856.ogg,69.642,65,4.0
houspa,houspa/XC835064.ogg,137.456,130,5.0
whtkin2,whtkin2/XC540087.ogg,21.812,10,3.0
hoopoe,hoopoe/XC659222.ogg,200.448,175,5.0
commyn,commyn/XC519640.ogg,2630.352,820,1.0
rocpig,rocpig/XC568146.ogg,52.14,35,4.0
grywag,grywag/XC595778.ogg,13.217,10,5.0
categr,categr/XC803079.ogg,27.327,15,4.0
bkwsti,bkwsti/XC422016.ogg,115.435,110,3.5
brfowl1,brfowl1/XC124214.ogg,39.419,25,2.5
barswa,barswa/XC807259.ogg,58.419,45,5.0
labcro1,labcro1/XC684247.ogg,35.553,35,4.5
comros,comros/XC486681.ogg,41.28,25,5.0
grtdro1,grtdro1/XC632042.ogg,89.626,35,4.5
houspa,houspa/XC326655.ogg,868.859,595,2.5
categr,categr/XC734223.ogg,74.88,45,3.5
litgre1,litgre1/XC559857.ogg,33.437,25,1.0
hoopoe,hoopoe/XC617644.ogg,39.628,25,5.0
brwowl1,brwowl1/XC575196.ogg,22.544,5,3.0
cregos1,cregos1/XC840802.ogg,1019.507,50,5.0
laudov1,laudov1/XC267211.ogg,45.0,20,5.0
grywag,grywag/XC507311.ogg,21.96,0,4.5
houspa,houspa/XC790998.ogg,2113.358,1795,3.5
rerswa1,rerswa1/XC390260.ogg,247.118,175,4.0
whbwat1,whbwat1/XC637241.ogg,41.448,25,5.0
nutman,nutman/XC588179.ogg,60.552,40,5.0
grnsan,grnsan/XC667394.ogg,32.47,25,5.0
blrwar1,blrwar1/XC478485.ogg,611.997,495,4.0
ashdro1,ashdro1/XC329165.ogg,183.216,105,4.0
yebbul3,yebbul3/XC741610.ogg,107.64,20,5.0
whbsho3,whbsho3/XC856468.ogg,284.891,170,4.0
commyn,commyn/XC519640.ogg,2630.352,1525,1.0
asikoe2,asikoe2/XC433059.ogg,339.24,10,4.0
barswa,barswa/XC324838.ogg,33.123,10,4.5
wemhar1,wemhar1/XC467665.ogg,36.648,30,4.0
junbab2,junbab2/XC684277.ogg,73.482,40,4.5
litegr,litegr/XC614656.ogg,147.879,40,2.5
mawthr1,mawthr1/XC614948.ogg,74.005,10,5.0
orihob2,orihob2/XC756486.ogg,46.224,25,4.0
heswoo1,heswoo1/XC665715.ogg,8.616,0,5.0
comgre,comgre/XC685778.ogg,113.136,0,4.5
bladro1,bladro1/XC208795.ogg,106.893,75,4.0
blrwar1,blrwar1/XC770034.ogg,1668.792,750,5.0
bkskit1,bkskit1/XC360653.ogg,109.427,30,4.0
hoopoe,hoopoe/XC484332.ogg,23.304,10,0.0
inbrob1,inbrob1/XC402419.ogg,75.48,50,4.0
blrwar1,blrwar1/XC826779.ogg,889.678,795,5.0
eaywag1,eaywag1/XC530537.ogg,29.048,20,2.5
comkin1,comkin1/XC506782.ogg,243.144,10,5.0
commyn,commyn/XC519458.ogg,989.88,20,1.0
blrwar1,blrwar1/XC572385.ogg,2245.272,1580,5.0
ingori1,ingori1/XC337338.ogg,70.635,5,3.0
blrwar1,blrwar1/XC568493.ogg,998.452,990,5.0
gybpri1,gybpri1/XC302002.ogg,19.644,10,4.0
blakit1,blakit1/XC495361.ogg,249.051,50,5.0
eucdov,eucdov/XC612031.ogg,148.741,30,5.0
grywag,grywag/XC802631.ogg,46.32,25,4.0
blrwar1,blrwar1/XC120471.ogg,115.853,0,4.5
eucdov,eucdov/XC747494.ogg,55.17,10,3.5
bkskit1,bkskit1/XC361623.ogg,176.431,35,4.0
eucdov,eucdov/XC697893.ogg,28.896,15,3.5
rewbul,rewbul/XC131476.ogg,222.528,170,4.5
purher1,purher1/XC590008.ogg,14.315,10,3.0
blrwar1,blrwar1/XC658147.ogg,603.872,190,3.5
whbbul2,whbbul2/XC214025.ogg,75.912,50,5.0
asikoe2,asikoe2/XC604704.ogg,26.906,20,2.0
junbab2,junbab2/XC208585.ogg,47.125,5,4.0
rorpar,rorpar/XC334309.ogg,102.087,100,5.0
blrwar1,blrwar1/XC377726.ogg,85.812,70,3.5
brnhao1,brnhao1/XC610759.ogg,113.016,25,3.0
blrwar1,blrwar1/XC826043.ogg,2153.448,1760,5.0
gyhcaf1,gyhcaf1/XC304069.ogg,10.553,10,3.0
blrwar1,blrwar1/XC660156.ogg,1698.508,930,5.0
cohcuc1,cohcuc1/XC552046.ogg,101.067,100,5.0
sohmyn1,sohmyn1/XC651290.ogg,102.948,30,3.5
thbwar1,thbwar1/XC485017.ogg,164.4,100,5.0
rocpig,rocpig/XC718271.ogg,54.778,40,3.5
houspa,houspa/XC168479.ogg,165.093,85,4.0
comros,comros/XC326219.ogg,91.22,90,5.0
whbwat1,whbwat1/XC650149.ogg,161.064,20,4.5
graher1,graher1/XC686512.ogg,25.469,0,5.0
comsan,comsan/XC584397.ogg,141.217,30,5.0
commoo3,commoo3/XC641192.ogg,28.368,5,5.0
blrwar1,blrwar1/XC565329.ogg,155.712,95,4.5
labcro1,labcro1/XC133745.ogg,177.737,170,3.5
shikra1,shikra1/XC545721.ogg,147.624,95,4.0
pursun4,pursun4/XC406121.ogg,55.2,5,4.0
eaywag1,eaywag1/XC270056.ogg,203.311,155,5.0
hoopoe,hoopoe/XC472356.ogg,63.346,25,4.0
rerswa1,rerswa1/XC390255.ogg,235.207,235,4.0
rorpar,rorpar/XC234984.ogg,85.864,55,3.5
thbwar1,thbwar1/XC803371.ogg,67.284,15,4.0
grnwar1,grnwar1/XC482447.ogg,190.537,15,5.0
eaywag1,eaywag1/XC145176.ogg,40.896,10,4.5
woosan,woosan/XC577707.ogg,10.971,0,4.0
whiter2,whiter2/XC480127.ogg,146.232,25,0.0
laudov1,laudov1/XC444431.ogg,66.691,50,4.5
commyn,commyn/XC521179.ogg,1757.544,755,2.0
eaywag1,eaywag1/XC480691.ogg,108.669,10,5.0
placuc3,placuc3/XC214136.ogg,106.848,15,5.0
lirplo,lirplo/XC562310.ogg,61.623,45,4.5
comsan,comsan/XC795668.ogg,95.784,80,5.0
litswi1,litswi1/XC253698.ogg,510.145,310,4.5
commyn,commyn/XC519640.ogg,2630.352,2470,1.0
hoopoe,hoopoe/XC807306.ogg,15.02,0,1.5
rorpar,rorpar/XC716806.ogg,106.684,100,5.0
comros,comros/XC484731.ogg,59.568,55,3.5
commyn,commyn/XC519659.ogg,2169.678,2030,1.0
houspa,houspa/XC548484.ogg,127.896,70,3.5
houspa,houspa/XC327003.ogg,871.471,50,2.5
lirplo,lirplo/XC130824.ogg,98.56,90,5.0
comros,comros/XC657070.ogg,162.325,110,5.0
grnsan,grnsan/XC829497.ogg,206.08,115,3.0
blhori1,blhori1/XC607193.ogg,59.064,35,4.0
comgre,comgre/XC615042.ogg,70.583,70,2.0
barswa,barswa/XC376773.ogg,138.997,5,5.0
putbab1,putbab1/XC362718.ogg,28.761,20,5.0
stbkin1,stbkin1/XC737724.ogg,41.769,10,2.0
eucdov,eucdov/XC612031.ogg,148.741,75,5.0
houspa,houspa/XC651512.ogg,136.15,120,2.5
blrwar1,blrwar1/XC660156.ogg,1698.508,1175,5.0
wemhar1,wemhar1/XC539180.ogg,75.744,75,4.5
eurcoo,eurcoo/XC697400.ogg,60.048,50,3.5
blnmon1,blnmon1/XC741217.ogg,60.024,30,5.0
ashwoo2,ashwoo2/XC803330.ogg,62.736,30,5.0
blrwar1,blrwar1/XC571560.ogg,1816.152,1625,4.0
indrob1,indrob1/XC507730.ogg,57.339,0,4.0
putbab1,putbab1/XC573334.ogg,36.911,30,4.0
eaywag1,eaywag1/XC145109.ogg,36.049,35,4.0
litegr,litegr/XC605412.ogg,1.28,0,5.0
grewar3,grewar3/XC376515.ogg,32.679,25,2.5
blrwar1,blrwar1/XC826766.ogg,5964.225,180,4.0
comior1,comior1/XC572937.ogg,49.032,45,4.0
bcnher,bcnher/XC663531.ogg,665.664,520,4.5
brnshr,brnshr/XC776544.ogg,96.072,60,3.0
comgre,comgre/XC737053.ogg,92.865,70,5.0
smamin1,smamin1/XC308252.ogg,14.994,5,4.0
bkwsti,bkwsti/XC718493.ogg,57.672,45,4.0
houspa,houspa/XC282280.ogg,392.908,25,4.0
whbsho3,whbsho3/XC197139.ogg,148.793,90,4.0
eucdov,eucdov/XC347428.ogg,37.695,25,4.0
gybpri1,gybpri1/XC802726.ogg,140.928,100,4.0
whbwag1,whbwag1/XC335673.ogg,143.673,65,4.0
bkwsti,bkwsti/XC815231.ogg,55.612,5,5.0
crseag1,crseag1/XC350206.ogg,189.888,40,3.5
lirplo,lirplo/XC527172.ogg,60.082,40,4.0
woosan,woosan/XC841458.ogg,12.936,10,5.0
bkrfla1,bkrfla1/XC196734.ogg,30.744,0,5.0
plapri1,plapri1/XC642745.ogg,17.816,5,3.0
gyhcaf1,gyhcaf1/XC855806.ogg,53.055,15,5.0
blnmon1,blnmon1/XC179439.ogg,69.564,20,5.0
laudov1,laudov1/XC755358.ogg,127.616,25,4.0
gyhcaf1,gyhcaf1/XC769762.ogg,91.92,45,4.0
graher1,graher1/XC521618.ogg,48.936,10,5.0
eaywag1,eaywag1/XC145239.ogg,110.376,70,4.5
ashwoo2,ashwoo2/XC639720.ogg,102.672,10,3.5
grewar3,grewar3/XC488576.ogg,260.101,260,5.0
rorpar,rorpar/XC650137.ogg,391.344,65,4.5
commoo3,commoo3/XC567627.ogg,247.249,185,3.5
lesyel1,lesyel1/XC295191.ogg,50.312,5,5.0
grywag,grywag/XC138587.ogg,56.376,30,2.0
woosan,woosan/XC687190.ogg,40.933,25,5.0
blhori1,blhori1/XC365148.ogg,51.12,45,5.0
grewar3,grewar3/XC573374.ogg,1019.011,545,4.5
barswa,barswa/XC284630.ogg,17.58,0,3.0
yebbul3,yebbul3/XC490504.ogg,76.539,0,3.5
pursun4,pursun4/XC182625.ogg,41.43,5,4.5
bladro1,bladro1/XC208795.ogg,106.893,15,4.0
comkin1,comkin1/XC495024.ogg,20.193,20,4.0
rewbul,rewbul/XC419054.ogg,56.869,25,3.0
woosan,woosan/XC587076.ogg,329.256,275,4.5
blrwar1,blrwar1/XC731268.ogg,54.396,5,5.0
comgre,comgre/XC267939.ogg,94.224,20,3.5
grecou1,grecou1/XC453348.ogg,148.114,135,4.5
hoopoe,hoopoe/XC367997.ogg,100.92,35,2.5
graher1,graher1/XC814112.ogg,10.606,10,3.5
blrwar1,blrwar1/XC321513.ogg,412.176,320,4.0
indrol2,indrol2/XC508365.ogg,14.315,5,4.0
eaywag1,eaywag1/XC645707.ogg,128.548,35,4.5
lirplo,lirplo/XC420707.ogg,50.834,25,3.5
grewar3,grewar3/XC810536.ogg,387.0,365,4.5
bcnher,bcnher/XC798415.ogg,40.519,10,5.0
commoo3,commoo3/XC721585.ogg,28.342,5,4.0
brwowl1,brwowl1/XC637201.ogg,314.4,170,5.0
comior1,comior1/XC152928.ogg,91.68,90,2.5
woosan,woosan/XC797773.ogg,25.128,0,4.0
hoopoe,hoopoe/XC173847.ogg,36.075,30,3.5
eurcoo,eurcoo/XC266611.ogg,94.903,35,3.5
blrwar1,blrwar1/XC826787.ogg,4670.642,90,5.0
lblwar1,lblwar1/XC470536.ogg,76.896,5,5.0
whbsho3,whbsho3/XC856488.ogg,300.042,5,3.5
kenplo1,kenplo1/XC718485.ogg,54.312,50,4.0
gyhcaf1,gyhcaf1/XC805190.ogg,131.952,85,4.5
comkin1,comkin1/XC804341.ogg,152.424,130,5.0
blrwar1,blrwar1/XC478411.ogg,77.88,65,4.0
wemhar1,wemhar1/XC184348.ogg,60.839,0,4.0
barswa,barswa/XC146746.ogg,21.159,20,4.5
barfly1,barfly1/XC856481.ogg,233.796,100,3.5
bkskit1,bkskit1/XC350370.ogg,26.253,0,0.0
blrwar1,blrwar1/XC477197.ogg,631.248,245,5.0
houspa,houspa/XC377232.ogg,79.386,0,4.0
eucdov,eucdov/XC668306.ogg,295.032,20,3.5
bkwsti,bkwsti/XC338796.ogg,636.682,305,0.0
blrwar1,blrwar1/XC765804.ogg,1927.944,190,5.0
graher1,graher1/XC546005.ogg,12.565,5,0.0
gargan,gargan/XC26963.ogg,18.86,15,4.0
indrob1,indrob1/XC779037.ogg,43.18,25,3.5
bkwsti,bkwsti/XC184425.ogg,162.482,140,3.5
ashdro1,ashdro1/XC293436.ogg,328.673,55,3.5
junowl1,junowl1/XC683122.ogg,82.104,40,5.0
comros,comros/XC319174.ogg,104.803,0,3.0
comros,comros/XC484731.ogg,59.568,15,3.5
rorpar,rorpar/XC351295.ogg,35.578,0,3.0
commyn,commyn/XC546848.ogg,1086.696,695,5.0
eurcoo,eurcoo/XC732223.ogg,108.168,85,3.0
lirplo,lirplo/XC361570.ogg,169.404,120,2.5
gyhcaf1,gyhcaf1/XC293599.ogg,359.445,260,5.0
eucdov,eucdov/XC668870.ogg,1144.555,720,1.0
commoo3,commoo3/XC586138.ogg,61.048,40,3.0
grejun2,grejun2/XC216654.ogg,102.217,85,4.0
asbfly,asbfly/XC749597.ogg,10.032,5,5.0
comsan,comsan/XC798794.ogg,17.256,0,4.0
comsan,comsan/XC318810.ogg,57.182,30,4.0
isbduc1,isbduc1/XC467964.ogg,125.928,55,3.0
barswa,barswa/XC209127.ogg,59.533,0,3.5
commoo3,commoo3/XC349223.ogg,824.895,80,3.5
litswi1,litswi1/XC607160.ogg,27.898,25,4.0
maghor2,maghor2/XC786589.ogg,41.904,0,5.0
houcro1,houcro1/XC446886.ogg,7.56,5,4.5
categr,categr/XC585965.ogg,108.539,85,4.5
asbfly,asbfly/XC329259.ogg,108.96,5,3.5
ruftre2,ruftre2/XC603708.ogg,53.838,25,5.0
bkwsti,bkwsti/XC578637.ogg,32.444,5,4.0
blrwar1,blrwar1/XC826766.ogg,5964.225,5945,4.0
bcnher,bcnher/XC800502.ogg,126.168,70,4.0
zitcis1,zitcis1/XC169461.ogg,43.285,30,3.5
comkin1,comkin1/XC289572.ogg,99.527,45,1.5
eucdov,eucdov/XC303270.ogg,424.229,295,2.5
eucdov,eucdov/XC541520.ogg,93.384,85,3.5
blrwar1,blrwar1/XC478411.ogg,77.88,5,4.0
zitcis1,zitcis1/XC506279.ogg,177.894,20,5.0
blrwar1,blrwar1/XC422335.ogg,739.709,720,5.0
comros,comros/XC614691.ogg,28.316,15,3.5
hoopoe,hoopoe/XC467855.ogg,36.493,25,4.5
grywag,grywag/XC836264.ogg,103.053,65,3.0
btbeat1,btbeat1/XC743618.ogg,23.232,10,5.0
blnmon1,blnmon1/XC86935.ogg,35.5,20,5.0
commyn,commyn/XC548866.ogg,4486.536,3275,4.5
lirplo,lirplo/XC659495.ogg,23.431,0,5.0
woosan,woosan/XC659864.ogg,20.689,10,5.0
hoopoe,hoopoe/XC644607.ogg,74.448,60,4.5
commyn,commyn/XC521179.ogg,1757.544,825,2.0
litgre1,litgre1/XC800801.ogg,9.0,5,4.0
litspi1,litspi1/XC761904.ogg,51.048,40,5.0
purher1,purher1/XC746212.ogg,58.854,0,4.0
greegr,greegr/XC337793.ogg,6.288,0,4.0
hoopoe,hoopoe/XC625440.ogg,574.968,290,3.5
wemhar1,wemhar1/XC262852.ogg,154.645,150,5.0
bkwsti,bkwsti/XC442265.ogg,16.378,5,3.5
eucdov,eucdov/XC725375.ogg,53.88,50,4.5
putbab1,putbab1/XC321751.ogg,46.158,10,5.0
grywag,grywag/XC235139.ogg,73.587,60,3.5
blrwar1,blrwar1/XC661059.ogg,841.104,410,4.0
blrwar1,blrwar1/XC826787.ogg,4670.642,715,5.0
comgre,comgre/XC663698.ogg,60.12,15,4.5
whbwat1,whbwat1/XC764948.ogg,152.664,140,4.0
hoopoe,hoopoe/XC318437.ogg,855.954,330,4.0
blrwar1,blrwar1/XC826766.ogg,5964.225,2265,4.0
eaywag1,eaywag1/XC437968.ogg,154.88,40,4.5
blrwar1,blrwar1/XC826790.ogg,1607.758,270,4.0
commyn,commyn/XC519659.ogg,2169.678,2000,1.0
blrwar1,blrwar1/XC588031.ogg,136.333,120,4.0
barfly1,barfly1/XC548373.ogg,175.83,0,4.0
rufwoo2,rufwoo2/XC578928.ogg,43.392,10,5.0
grewar3,grewar3/XC319647.ogg,40.333,10,4.0
barswa,barswa/XC667928.ogg,112.457,65,4.0
ashwoo2,ashwoo2/XC639720.ogg,102.672,50,3.5
blrwar1,blrwar1/XC563337.ogg,2804.208,500,3.5
houspa,houspa/XC468459.ogg,60.238,15,4.5
grejun2,grejun2/XC507437.ogg,54.432,25,5.0
eucdov,eucdov/XC723553.ogg,184.416,0,4.5
bkwsti,bkwsti/XC788178.ogg,40.228,10,4.0
bkskit1,bkskit1/XC352478.ogg,38.74,25,0.0
revbul,revbul/XC756560.ogg,68.64,45,4.0
eucdov,eucdov/XC559635.ogg,27.506,25,5.0
hoopoe,hoopoe/XC570623.ogg,311.04,225,4.5
blrwar1,blrwar1/XC807464.ogg,131.683,80,4.5
eaywag1,eaywag1/XC675968.ogg,24.476,0,3.0
houspa,houspa/XC454068.ogg,636.264,575,2.0
whtkin2,whtkin2/XC461881.ogg,18.468,0,4.5
bkwsti,bkwsti/XC652883.ogg,31.321,25,5.0
woosan,woosan/XC746580.ogg,13.008,0,4.5
houspa,houspa/XC627922.ogg,175.934,0,2.5
woosan,woosan/XC735947.ogg,17.712,10,4.0
woosan,woosan/XC814623.ogg,76.344,40,4.5
blrwar1,blrwar1/XC654565.ogg,145.684,140,4.0
hoopoe,hoopoe/XC560362.ogg,194.544,15,5.0
comgre,comgre/XC639585.ogg,5.04,5,3.0
blrwar1,blrwar1/XC770034.ogg,1668.792,625,5.0
brwjac1,brwjac1/XC400761.ogg,11.833,0,3.5
rorpar,rorpar/XC209709.ogg,17.607,5,3.0
woosan,woosan/XC545316.ogg,55.464,15,5.0
grewar3,grewar3/XC501074.ogg,232.128,65,5.0
hoopoe,hoopoe/XC788393.ogg,33.254,20,1.5
graher1,graher1/XC569908.ogg,617.744,500,4.5
zitcis1,zitcis1/XC341142.ogg,494.785,365,4.0
blrwar1,blrwar1/XC253989.ogg,210.024,150,5.0
asikoe2,asikoe2/XC575566.ogg,84.768,5,4.0
brnhao1,brnhao1/XC542268.ogg,21.943,20,1.0
blrwar1,blrwar1/XC565461.ogg,53.133,15,3.0
grnsan,grnsan/XC686474.ogg,47.307,25,5.0
commoo3,commoo3/XC817465.ogg,74.808,40,3.5
bkwsti,bkwsti/XC338282.ogg,73.691,35,5.0
commyn,commyn/XC332018.ogg,87.719,45,4.0
houspa,houspa/XC556841.ogg,114.6,10,4.5
rewbul,rewbul/XC706117.ogg,50.16,35,5.0
placuc3,placuc3/XC591480.ogg,15.672,5,5.0
crseag1,crseag1/XC856755.ogg,59.036,25,0.5
hoopoe,hoopoe/XC787274.ogg,23.353,5,4.0
ashdro1,ashdro1/XC507992.ogg,39.816,20,5.0
rorpar,rorpar/XC471332.ogg,52.297,20,5.0
graher1,graher1/XC680958.ogg,81.214,80,4.0
maghor2,maghor2/XC196577.ogg,69.048,30,4.0
orihob2,orihob2/XC383056.ogg,145.476,20,5.0
houspa,houspa/XC327003.ogg,871.471,270,2.5
comgre,comgre/XC190514.ogg,192.653,190,3.5
comros,comros/XC208331.ogg,102.348,20,4.0
greegr,greegr/XC323526.ogg,12.434,0,5.0
forwag1,forwag1/XC806804.ogg,243.264,45,4.0
blrwar1,blrwar1/XC660156.ogg,1698.508,890,5.0
stbkin1,stbkin1/XC284715.ogg,110.232,45,4.0
grtdro1,grtdro1/XC450264.ogg,26.175,25,5.0
bcnher,bcnher/XC675411.ogg,25.417,0,5.0
hoopoe,hoopoe/XC633570.ogg,6.138,5,4.0
blrwar1,blrwar1/XC809449.ogg,490.657,360,3.5
placuc3,placuc3/XC486683.ogg,44.747,5,4.0
eaywag1,eaywag1/XC437968.ogg,154.88,130,4.5
plapri1,plapri1/XC829621.ogg,184.392,135,5.0
houspa,houspa/XC553556.ogg,129.744,100,4.5
barswa,barswa/XC690503.ogg,118.491,60,2.5
